region_type,N,ADMD_kW_per_household,DF,CF
city,1,3.6792341380612226,1.0,1.0
city,2,2.821306513871632,1.3435523161702587,0.754544354724204
city,3,2.447800648392974,1.5626741418945547,0.6511248707203364
city,5,2.0130071722897007,1.881925888917132,0.540955157880787
city,10,1.6487384128793825,2.2864202830736464,0.443293326194256
city,15,1.5002871401651257,2.509642245983204,0.40297799720241234
city,20,1.4180812311408661,2.656432000394533,0.37993667699379746
city,30,1.3287391475865045,2.814798561167591,0.35787891469489835
city,40,1.2821975748274372,2.9017507368931,0.3465478081579925
city,50,1.2521093250418178,2.9689328679097544,0.33847501295948634
city,75,1.2186387515214336,3.0542922723091426,0.3285862336956287
city,100,1.1975151721813286,3.0995359196188454,0.3234035458031074
city,120,1.1923604966461725,3.1167491421846005,0.32143208247165034
city,140,1.1862267649995517,3.1288633961491596,0.32001861858382885
city,150,1.183681215817215,3.133704087152717,0.31943643792424575
city,160,1.1828123727553237,3.1352353980111727,0.31923518323041367
city,180,1.1836943068236256,3.1328879696604917,0.3193322987677135
city,200,1.1818049796111123,3.1359431647879257,0.3189163044869479
town,1,3.6729403887922443,1.0,1.0
town,2,2.7904642689534804,1.3438220824547389,0.7540792766718689
town,3,2.4172738830361955,1.5783138333553157,0.6441248067231202
town,5,2.010638295042342,1.8719287804756228,0.5438105030928805
town,10,1.6323206863219142,2.295623790147368,0.4417323529443681
town,15,1.481045522633485,2.5093319406569705,0.4029944529419487
town,20,1.4106353622272936,2.643141215895739,0.3819570371750999
town,30,1.3307869390197125,2.8079165288110426,0.3585548720651051
town,40,1.2818842529651984,2.900805164105869,0.34675302095901006
town,50,1.2497268876163194,2.9687369945433475,0.3385181007945905
town,75,1.2148936082722324,3.056347886239219,0.32837044088606215
town,100,1.1946077068736312,3.0965028498090414,0.32372755078145
town,120,1.189125095006374,3.113677170805045,0.3217557418766718
town,140,1.184672328255344,3.1220259705503164,0.3207280393591467
town,150,1.1817149211521223,3.1252477549774547,0.32029569094631843
town,160,1.1818681038756422,3.1280028728143057,0.31994214892625816
town,180,1.1801942100537393,3.129104854682295,0.3197210780970819
town,200,1.1800119125703572,3.1286081432553074,0.31966446599380083
village,1,3.7317143629379417,1.0,1.0
village,2,2.7686424894934163,1.3410582746896056,0.7558761696055292
village,3,2.364793668197413,1.577824727673789,0.6451343632278967
village,5,1.9572384362606512,1.8894532914729112,0.53926179108924
village,10,1.6104568137167166,2.288431767791394,0.44313391203558483
village,15,1.4652233521171916,2.509691154430002,0.40333441972747003
village,20,1.3936312209842974,2.6366793370236303,0.38295839134399834
village,30,1.3097373549387497,2.800079371812009,0.3600073386288503
village,40,1.2682631147811958,2.8953745536957616,0.3475699031223349
village,50,1.2439686494215196,2.9545390110980643,0.3401646595606941
village,75,1.2008194872497953,3.0307191223785037,0.3311169597893194
village,100,1.1844886290341121,3.076743210325525,0.3258516442015874
village,120,1.178529342727596,3.0909759745087353,0.3241009341153869
village,140,1.1743969307180744,3.0993477091528483,0.32307083344318527
village,150,1.173404007495187,3.1017750693174437,0.32275562933360374
village,160,1.1726741515559256,3.104348135679979,0.32240659927464865
village,180,1.1716078352867931,3.1052263002471214,0.3221787431124178
village,200,1.1704311086901398,3.106544388598183,0.3219359558485561
